map_dim,rep,time,bytes
100,1,90.26619967,21038548736
100,2,66.859321552,21219119784
100,3,67.632180651,21282404008
100,4,82.041368436,21974564456
100,5,87.058477378,22146951664
100,6,84.088650049,21849056448
100,7,67.173546706,22392557280
100,8,91.580616421,21710268168
100,9,79.250994268,22134849272
100,10,86.652889938,21512871504
100,11,85.612635727,21804825640
100,12,83.229061779,21957603760
100,13,84.073458391,22011704136
100,14,87.020520362,21753025200
100,15,80.910376329,22280950640
100,16,81.829537961,21046417584
100,17,86.013434243,22440513128
100,18,79.13725922,21317649280
100,19,77.814645607,21155417128
100,20,81.604135532,22141290136
100,21,82.67412543,22429569744
100,22,79.578507005,21112139992
100,23,79.26058101,21181812456
100,24,79.762226664,20991827352
100,25,78.266926765,20776475120
